Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Power,Seats,Price,Brand,Model
Mumbai,2010,268.32815729997475,CNG,Manual,First,26.6,58.16,5,0.5596157879354227,Maruti,WagonR
Pune,2015,202.48456731316588,Diesel,Manual,First,19.67,126.2,5,2.5257286443082556,Hyundai,Creta
Chennai,2011,214.47610589527216,Petrol,Manual,First,18.2,88.7,5,1.5040773967762742,Honda,Jazz
Chennai,2012,294.95762407505254,Diesel,Manual,First,20.77,88.76,7,1.791759469228055,Maruti,Ertiga
Coimbatore,2013,201.66804407243106,Diesel,Automatic,Second,15.2,140.8,5,2.8758219768814333,Audi,A4
Jaipur,2013,294.9559289114223,Diesel,Manual,First,23.08,63.1,5,1.252762968495368,Nissan,Micra
Mumbai,2016,189.73665961010275,Diesel,Automatic,First,11.36,171.5,8,2.8622008809294686,Toyota,Innova
Pune,2013,253.83065220733292,Diesel,Manual,First,20.54,103.6,5,1.6486586255873816,Volkswagen,Vento
Chennai,2012,256.7722726464055,Diesel,Manual,Second,22.3,74.0,5,0.6678293725756554,Tata,Indica
Kochi,2018,160.2872421623131,Petrol,Manual,First,21.56,103.25,5,2.2975725511705014,Maruti,Ciaz
Kolkata,2012,244.94897427831782,Petrol,Automatic,First,16.8,116.3,5,1.501852701754163,Honda,City
Jaipur,2015,253.81883302859936,Diesel,Manual,First,25.2,74.0,5,1.7227665977411035,Maruti,Swift
Delhi,2014,268.32815729997475,Diesel,Automatic,First,12.7,187.7,5,3.295836866004329,Land Rover,Rover
Pune,2012,291.547594742265,Diesel,Automatic,Second,0.0,115.0,5,2.8622008809294686,Land Rover,Rover
Delhi,2014,331.66247903554,Diesel,Manual,First,13.5,175.56,7,2.70805020110221,Mitsubishi,Pajero
Kochi,2016,242.79621084357967,Diesel,Manual,First,25.8,98.6,5,1.6863989535702288,Honda,Amaze
Jaipur,2017,158.11388300841898,Diesel,Manual,First,28.4,74.0,5,1.7900914121273581,Maruti,Swift
Kochi,2014,278.3325349289946,Diesel,Manual,First,20.45,83.8,5,1.8468787684491346,Renault,Duster
Bangalore,2014,280.178514522438,Diesel,Automatic,First,14.84,167.62,5,3.332204510175204,Mercedes-Benz,New
Kochi,2014,181.60947111866165,Diesel,Automatic,First,22.69,190.0,5,2.920469789053444,Bmw,3 Series
Bangalore,2015,235.3550509336904,Diesel,Manual,Second,23.65,88.5,5,2.1102132003465894,Maruti,S Cross
Mumbai,2015,236.61149591682988,Petrol,Automatic,First,13.53,177.01,5,3.1570004211501135,Audi,A6
Kolkata,2010,214.02569939145158,Petrol,Manual,First,18.5,80.0,5,0.6259384308664954,Hyundai,I20
Kolkata,2010,181.6590212458495,Petrol,Automatic,First,14.4,103.6,5,1.0473189942805592,Volkswagen,Vento
Mumbai,2012,227.85960589801783,Petrol,Manual,First,16.8,116.3,5,1.4469189829363254,Honda,City
Hyderabad,2012,232.379000772445,Diesel,Manual,First,23.08,63.1,5,1.4469189829363254,Nissan,Micra
Hyderabad,2013,232.379000772445,Petrol,Manual,Second,20.92,67.1,5,1.0116009116784799,Maruti,Alto
Kochi,2018,193.46834366376325,Petrol,Manual,First,17.5,88.7,5,2.2925347571405443,Honda,Wrv
Mumbai,2007,511.8593556827891,Diesel,Manual,Third & Above,12.8,102.0,7,1.3862943611198906,Toyota,Innova
Bangalore,2013,248.99799195977465,Diesel,Manual,First,19.01,108.45,5,2.0476928433652555,Renault,Duster
Delhi,2012,295.9983108059909,Petrol,Manual,First,14.53,138.1,5,1.9095425048844386,Toyota,Corolla
Bangalore,2013,268.32815729997475,Diesel,Automatic,Second,11.18,184.0,7,2.5257286443082556,Mahindra,Ssangyong
Kolkata,2010,187.08286933869707,Diesel,Automatic,First,12.4,179.5,5,2.4423470353692043,Audi,A6
Coimbatore,2014,235.43788989880113,Petrol,Manual,Second,16.09,103.5,5,1.9430489167742813,Volkswagen,Vento
Jaipur,2009,289.5099307450437,Petrol,Manual,Second,14.0,64.0,5,0.6151856390902335,Maruti,WagonR
Kochi,2018,223.77444000600246,Diesel,Manual,First,24.3,88.5,5,2.155244505095337,Maruti,Vitara
Delhi,2017,228.0350850198276,Petrol,Manual,First,18.15,82.0,5,1.5789787049493917,Mahindra,Kuv
Pune,2013,291.547594742265,Diesel,Automatic,First,11.74,254.8,5,3.332204510175204,Mercedes-Benz,M-Class
Chennai,2013,248.99799195977465,Diesel,Manual,First,22.07,73.9,5,1.6094379124341003,Volkswagen,Polo
Delhi,2008,300.0,Petrol,Manual,Second,19.7,46.3,5,0.22314355131420976,Maruti,Alto
Kochi,2014,140.34956359034396,Petrol,Manual,First,25.4,37.5,4,0.4252677354043441,Tata,Nano
Coimbatore,2017,148.435171034361,Diesel,Manual,First,25.32,77.0,6,1.7191887763932197,Mahindra,Kuv
